rowID;date;department;team;targeted_productivity;smv;wip;over_time;incentive;idle_time;idle_men;no_of_style_change;no_of_workers;actual_productivity
1;01/01/2015 00:00;sweing;8;0,8;26,16;1108;7080;98;0;0;0;59;0,940725424
2;01/01/2015 00:00;finishing ;1;0,75;3,94;NaN;960;0;0;0;0;8;0,8865
3;01/01/2015 00:00;sweing;11;0,8;11,41;968;3660;50;0;0;0;30,5;0,800570492
4;01/01/2015 00:00;sweing;12;0,8;11,41;968;3660;50;0;0;0;30,5;0,800570492
5;01/01/2015 00:00;sweing;6;0,8;25,9;1170;1920;50;0;0;0;56;0,800381944
6;01/01/2015 00:00;sweing;7;0,8;25,9;984;6720;38;0;0;0;56;0,800125
7;01/01/2015 00:00;finishing ;2;0,75;3,94;NaN;960;0;0;0;0;8;0,755166667
8;01/01/2015 00:00;sweing;3;0,75;28,08;795;6900;45;0;0;0;57,5;0,753683478
9;01/01/2015 00:00;sweing;2;0,75;19,87;733;6000;34;0;0;0;55;0,753097531
10;01/01/2015 00:00;sweing;1;0,75;28,08;681;6900;45;0;0;0;57,5;0,750427826
11;01/01/2015 00:00;sweing;9;0,7;28,08;872;6900;44;0;0;0;57,5;0,721126957
12;01/01/2015 00:00;sweing;10;0,75;19,31;578;6480;45;0;0;0;54;0,712205247
13;01/01/2015 00:00;sweing;5;0,8;11,41;668;3660;50;0;0;0;30,5;0,707045902
14;01/01/2015 00:00;finishing ;10;0,65;3,94;NaN;960;0;0;0;0;8;0,705916667
15;01/01/2015 00:00;finishing ;8;0,75;2,9;NaN;960;0;0;0;0;8;0,676666667
16;01/01/2015 00:00;finishing ;4;0,75;3,94;NaN;2160;0;0;0;0;18;0,593055556
17;01/01/2015 00:00;finishing ;7;0,8;2,9;NaN;960;0;0;0;0;8;0,540729167
18;01/01/2015 00:00;sweing;4;0,65;23,69;861;7200;0;0;0;0;60;0,52118
19;01/01/2015 00:00;finishing;11;0,7;4,15;NaN;1440;0;0;0;0;12;0,436326389
20;03/01/2015 00:00;finishing ;4;0,8;4,15;NaN;6600;0;0;0;0;20;0,988024691
21;03/01/2015 00:00;finishing ;11;0,75;2,9;NaN;5640;0;0;0;0;17;0,987880435
22;03/01/2015 00:00;finishing ;9;0,8;4,15;NaN;960;0;0;0;0;8;0,956270833
23;03/01/2015 00:00;finishing ;3;0,75;3,94;NaN;1560;0;0;0;0;8;0,945277778
24;03/01/2015 00:00;finishing ;1;0,8;3,94;NaN;960;0;0;0;0;8;0,902916667
25;03/01/2015 00:00;sweing;1;0,8;28,08;772;6300;50;0;0;0;56,5;0,800725314
26;03/01/2015 00:00;sweing;3;0,8;28,08;913;6540;50;0;0;0;54,5;0,800322936
27;03/01/2015 00:00;sweing;8;0,8;26,16;1261;7080;50;0;0;0;59;0,800318644
28;03/01/2015 00:00;sweing;12;0,8;26,16;844;7080;63;0;0;0;59;0,800318644
29;03/01/2015 00:00;sweing;11;0,8;11,61;1005;7080;50;0;0;0;29,5;0,800237288
30;03/01/2015 00:00;sweing;5;0,8;11,61;659;7080;50;0;0;0;31,5;0,800148649
31;03/01/2015 00:00;sweing;6;0,8;25,9;1152;6720;50;0;0;0;56;0,800125
32;03/01/2015 00:00;sweing;7;0,8;25,9;1138;6720;38;0;0;0;56;0,800125
33;03/01/2015 00:00;sweing;10;0,75;19,31;610;6480;56;0;0;0;54;0,787299691
34;03/01/2015 00:00;finishing ;2;0,8;4,15;NaN;960;0;0;0;0;8;0,782447917
35;03/01/2015 00:00;sweing;2;0,75;19,87;944;6600;45;0;0;0;55;0,75024303
36;03/01/2015 00:00;finishing ;10;0,7;4,15;NaN;960;0;0;0;0;8;0,7018125
37;03/01/2015 00:00;sweing;4;0,7;23,69;544;13800;0;0;0;0;60;0,700134038
38;03/01/2015 00:00;sweing;9;0,7;28,08;1072;6900;40;0;0;0;57,5;0,699965217
39;03/01/2015 00:00;finishing ;8;0,8;2,9;NaN;960;0;0;0;0;8;0,628333333
40;03/01/2015 00:00;finishing ;7;0,8;3,94;NaN;960;0;0;0;0;8;0,6253125
41;04/01/2015 00:00;finishing ;3;0,75;4,15;NaN;1560;0;0;0;0;8;0,991388889
42;04/01/2015 00:00;finishing ;9;0,8;3,94;NaN;960;0;0;0;0;8;0,931645833
43;04/01/2015 00:00;finishing ;1;0,8;3,94;NaN;960;0;0;0;0;8;0,915229167
44;04/01/2015 00:00;sweing;6;0,8;11,61;539;6975;50;0;0;0;31;0,879714482
45;04/01/2015 00:00;finishing ;4;0,8;3,94;NaN;6600;0;0;0;0;20;0,861679012
46;04/01/2015 00:00;sweing;9;0,8;26,16;1278;7080;60;0;0;0;59;0,850569492
47;04/01/2015 00:00;sweing;7;0,8;25,9;1227;7020;60;0;0;0;56,5;0,850436438
48;04/01/2015 00:00;sweing;8;0,8;25,9;1039;6780;45;0;0;0;56,5;0,850345133
49;04/01/2015 00:00;sweing;4;0,8;28,08;878;4260;50;0;0;0;55,5;0,800598058
50;04/01/2015 00:00;sweing;1;0,8;26,16;1033;7080;63;0;0;0;59;0,800318644
51;04/01/2015 00:00;sweing;2;0,8;28,08;782;6660;50;0;0;0;55,5;0,800237838
52;04/01/2015 00:00;sweing;12;0,8;11,61;1216;6975;50;0;0;0;31;0,800030199
53;04/01/2015 00:00;finishing ;2;0,8;3,94;NaN;960;0;0;0;0;8;0,792104167
54;04/01/2015 00:00;finishing ;10;0,7;3,94;NaN;4320;0;0;0;0;18;0,759228395
55;04/01/2015 00:00;sweing;11;0,75;19,31;513;6480;45;0;0;0;54;0,750348457
56;04/01/2015 00:00;sweing;3;0,75;19,87;734;6600;45;0;0;0;55;0,75024303
57;04/01/2015 00:00;sweing;10;0,7;28,08;1202;6900;40;0;0;0;57,5;0,699965217
58;04/01/2015 00:00;finishing ;8;0,8;2,9;NaN;960;0;0;0;0;8;0,682708333
59;04/01/2015 00:00;finishing ;7;0,8;2,9;NaN;960;0;0;0;0;8;0,667604167
60;04/01/2015 00:00;sweing;5;0,7;45,67;884;6960;26;0;0;0;58;0,603432184
61;04/01/2015 00:00;finishing ;11;0,75;4,15;NaN;960;0;0;0;0;8;0,345833333
62;05/01/2015 00:00;finishnig ;1;0,8;3,94;NaN;1920;0;0;0;0;8;0,961059028
63;05/01/2015 00:00;finishing ;11;0,8;3,94;NaN;2400;0;0;0;0;10;0,939513889
64;05/01/2015 00:00;finishing ;4;0,8;3,94;NaN;3840;0;0;0;0;16;0,893663194
65;05/01/2015 00:00;finishing ;3;0,75;4,15;NaN;1920;0;0;0;0;8;0,875390625
66;05/01/2015 00:00;sweing;9;0,8;26,16;1227;7080;75;0;0;0;59;0,850569492
67;05/01/2015 00:00;finishing ;9;0,8;2,9;NaN;1920;0;0;0;0;8;0,820833333
68;05/01/2015 00:00;finishing ;2;0,8;3,94;NaN;960;0;0;0;0;8;0,804416667
69;05/01/2015 00:00;sweing;7;0,8;25,9;1255;6780;50;0;0;0;56,5;0,800684366
70;05/01/2015 00:00;sweing;8;0,8;25,9;1047;6780;38;0;0;0;56,5;0,800684366
71;05/01/2015 00:00;sweing;1;0,8;26,16;1138;7080;63;0;0;0;59;0,800318644
72;05/01/2015 00:00;sweing;11;0,8;19,31;678;4800;50;0;0;0;55;0,800250962
73;05/01/2015 00:00;sweing;6;0,8;11,61;712;7200;50;0;0;0;32;0,800246011
74;05/01/2015 00:00;sweing;12;0,8;11,61;1037;7200;50;0;0;0;32;0,800246011
75;05/01/2015 00:00;sweing;2;0,8;28,08;757;6900;50;0;0;0;57,5;0,800076522
76;05/01/2015 00:00;sweing;4;0,8;28,08;759;6900;50;0;0;0;57,5;0,800076522
77;05/01/2015 00:00;finishing ;10;0,75;2,9;NaN;960;0;0;0;0;8;0,763375
78;05/01/2015 00:00;finishing ;5;0,6;2,9;NaN;960;0;0;0;0;8;0,759270833
79;05/01/2015 00:00;sweing;10;0,75;28,08;1083;7020;45;0;0;0;58,5;0,7504
80;05/01/2015 00:00;sweing;3;0,75;19,87;944;6600;45;0;0;0;55;0,75024303
81;05/01/2015 00:00;finishing ;7;0,8;3,94;NaN;960;0;0;0;0;8;0,676666667
82;05/01/2015 00:00;finishing ;8;0,8;2,9;NaN;960;0;0;0;0;8;0,664583333
83;05/01/2015 00:00;sweing;5;0,6;21,98;666;6960;23;0;0;0;58;0,600028736
84;06/01/2015 00:00;finishing ;4;0,8;3,94;NaN;4440;0;0;0;0;18;0,966781346
85;06/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;8;0,936496212
86;06/01/2015 00:00;finishing ;3;0,75;4,15;NaN;1800;0;0;0;0;10;0,899166667
87;06/01/2015 00:00;finishing ;11;0,8;4,15;NaN;2700;0;0;0;0;15;0,888686869
88;06/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
89;06/01/2015 00:00;sweing;1;0,8;26,16;1187;10620;75;0;0;0;59;0,850502311
90;06/01/2015 00:00;sweing;9;0,8;26,16;1305;10620;75;0;0;0;59;0,850502311
91;06/01/2015 00:00;finishing ;10;0,75;3,94;NaN;1440;0;0;0;0;8;0,809640152
92;06/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,805909091
93;06/01/2015 00:00;sweing;2;0,8;28,08;716;10350;50;0;0;0;57,5;0,800594466
94;06/01/2015 00:00;sweing;4;0,8;28,08;925;10350;50;0;0;0;57,5;0,800594466
95;06/01/2015 00:00;sweing;3;0,8;19,87;963;9900;50;0;0;0;55;0,800273829
96;06/01/2015 00:00;sweing;12;0,8;11,61;1101;5310;50;0;0;0;31,5;0,800140969
97;06/01/2015 00:00;sweing;7;0,8;25,9;1035;10170;38;0;0;0;56,5;0,800128721
98;06/01/2015 00:00;sweing;8;0,8;25,9;1083;10170;38;0;0;0;56,5;0,800128721
99;06/01/2015 00:00;sweing;6;0,8;11,61;910;4470;38;0;0;0;31,5;0,80007657
100;06/01/2015 00:00;sweing;10;0,75;28,08;1209;10530;45;0;0;0;58,5;0,750545455
101;06/01/2015 00:00;sweing;11;0,75;19,31;590;9900;45;0;0;0;55;0,750057851
102;06/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,681060606
103;06/01/2015 00:00;sweing;5;0,65;21,98;808;10440;35;0;0;0;58;0,649983281
104;06/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,61625
105;07/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;8;0,951420455
106;07/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,880530303
107;07/01/2015 00:00;sweing;1;0,8;26,16;1179;10620;75;0;0;0;59;0,850502311
108;07/01/2015 00:00;sweing;9;0,8;26,16;1324;10620;75;0;0;0;59;0,850502311
109;07/01/2015 00:00;sweing;8;0,8;25,9;1135;10170;60;0;0;0;56,5;0,850136766
110;07/01/2015 00:00;finishing ;3;0,75;4,15;NaN;2700;0;0;0;0;15;0,83
111;07/01/2015 00:00;finishing ;4;0,8;3,94;NaN;4440;0;0;0;0;18;0,827186544
112;07/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,813371212
113;07/01/2015 00:00;finishing ;10;0,75;3,94;NaN;1440;0;0;0;0;8;0,805909091
114;07/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,804640152
115;07/01/2015 00:00;sweing;2;0,8;28,08;776;10350;63;0;0;0;57,5;0,800594466
116;07/01/2015 00:00;sweing;4;0,8;28,08;990;10350;50;0;0;0;57,5;0,800594466
117;07/01/2015 00:00;sweing;6;0,8;11,41;986;5490;50;0;0;0;30,5;0,800343766
118;07/01/2015 00:00;sweing;3;0,8;19,87;924;9900;50;0;0;0;55;0,800273829
119;07/01/2015 00:00;swenig;12;0,8;11,61;1120;5670;50;0;0;0;31,5;0,800246753
120;07/01/2015 00:00;sweing;7;0,8;25,9;1066;10170;50;0;0;0;56,5;0,800128721
121;07/01/2015 00:00;sweing;10;0,75;28,08;1144;10530;69;0;0;0;58,5;0,8
122;07/01/2015 00:00;sweing;5;0,7;21,98;413;9720;40;0;0;0;58;0,700480831
123;07/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,681060606
124;07/01/2015 00:00;finishing ;6;0,8;2,9;NaN;1800;0;0;0;0;10;0,666515152
125;07/01/2015 00:00;sweing;11;0,8;31,83;568;9900;40;0;0;0;55;0,412119835
126;07/01/2015 00:00;finishing ;5;0,7;4,15;NaN;1440;0;0;0;0;8;0,330113636
127;08/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;8;0,947689394
128;08/01/2015 00:00;finishing ;4;0,8;3,94;NaN;12600;0;0;0;0;20;0,919905405
129;08/01/2015 00:00;sweing;9;0,8;26,16;1216;10620;88;0;0;0;59;0,900215716
130;08/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,891723485
131;08/01/2015 00:00;sweing;1;0,8;26,16;1189;10620;75;0;0;0;59;0,850502311
132;08/01/2015 00:00;sweing;4;0,8;28,08;942;10530;75;0;0;0;58,5;0,850181818
133;08/01/2015 00:00;sweing;7;0,8;25,9;1050;10170;60;0;0;0;56,5;0,850136766
134;08/01/2015 00:00;sweing;8;0,8;25,9;1026;10170;60;0;0;0;56,5;0,850136766
135;08/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,835757576
136;08/01/2015 00:00;finishing ;5;0,7;4,15;NaN;3840;0;0;0;0;8;0,821354167
137;08/01/2015 00:00;sweing;2;0,8;28,08;783;10050;63;0;0;0;58,5;0,800497246
138;08/01/2015 00:00;sweing;3;0,8;19,87;857;9900;50;0;0;0;55;0,800273829
139;08/01/2015 00:00;sweing;12;0,8;11,61;548;15120;63;0;0;0;31,5;0,800107143
140;08/01/2015 00:00;sweing;6;0,8;11,41;411;14640;50;0;0;0;30,5;0,800024932
141;08/01/2015 00:00;sweing;10;0,75;28,08;1066;10530;69;0;0;0;58,5;0,8
142;08/01/2015 00:00;finishing ;10;0,75;3,94;NaN;1440;0;0;0;0;8;0,779791667
143;08/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,735984848
144;08/01/2015 00:00;finishing ;3;0,75;4,15;NaN;2160;0;0;0;0;12;0,712626263
145;08/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,681060606
146;08/01/2015 00:00;finishing ;11;0,8;4,15;NaN;900;0;0;0;0;5;0,515606061
147;08/01/2015 00:00;sweing;11;0,35;12,52;287;25920;38;0;0;0;54;0,349951389
148;08/01/2015 00:00;sweing;5;0,7;42,41;724;10260;0;0;0;0;57;0,233705476
149;10/01/2015 00:00;finishing ;1;0,8;3,94;NaN;2160;0;0;0;0;8;0,985
150;10/01/2015 00:00;finishing ;3;0,75;4,15;NaN;2760;0;0;0;0;12;0,930340376
151;10/01/2015 00:00;finishing ;4;0,8;3,94;NaN;6000;0;0;0;0;20;0,911589744
152;10/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
153;10/01/2015 00:00;sweing;9;0,8;26,16;1122;10620;75;0;0;0;59;0,851174114
154;10/01/2015 00:00;sweing;7;0,8;25,9;970;10170;60;0;0;0;56,5;0,850136766
155;10/01/2015 00:00;sweing;8;0,8;25,9;1158;10170;60;0;0;0;56,5;0,850136766
156;10/01/2015 00:00;finishing ;10;0,8;3,94;NaN;1440;0;0;0;0;8;0,846950758
157;10/01/2015 00:00;finishing ;11;0,8;4,15;NaN;1440;0;0;0;0;8;0,817424242
158;10/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,817102273
159;10/01/2015 00:00;sweing;4;0,8;28,08;660;10440;63;0;0;0;58;0,801028213
160;10/01/2015 00:00;sweing;2;0,8;28,08;749;10350;63;0;0;0;57,5;0,800594466
161;10/01/2015 00:00;sweing;12;0,8;11,61;893;4710;50;0;0;0;31,5;0,800346445
162;10/01/2015 00:00;sweing;6;0,8;11,41;887;5490;50;0;0;0;30,5;0,800343766
163;10/01/2015 00:00;sweing;1;0,8;26,16;1335;10620;63;0;0;0;59;0,800117103
164;10/01/2015 00:00;sweing;10;0,8;28,08;1082;10530;63;0;0;0;58,5;0,8
165;10/01/2015 00:00;sweing;3;0,75;19,87;1075;7080;45;0;0;0;56;0,750098351
166;10/01/2015 00:00;sweing;11;0,5;12,52;749;9540;38;0;0;0;53;0,673245283
167;10/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,670075758
168;10/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,628882576
169;10/01/2015 00:00;sweing;5;0,5;20,79;966;7680;0;0;0;0;56;0,388007813
170;10/01/2015 00:00;finishing ;5;0,5;4,15;NaN;1440;0;0;0;0;8;0,337973485
171;11/01/2015 00:00;finishing ;3;0,75;4,15;NaN;1440;0;0;0;0;8;0,93532197
172;11/01/2015 00:00;finishing ;4;0,8;3,94;NaN;3600;0;0;0;0;20;0,925643939
173;11/01/2015 00:00;sweing;9;0,8;26,16;1095;10620;88;0;0;0;59;0,900215716
174;11/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;8;0,873068182
175;11/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
176;11/01/2015 00:00;sweing;1;0,8;26,16;1383;10620;75;0;0;0;59;0,850502311
177;11/01/2015 00:00;sweing;7;0,8;25,9;1012;10170;45;0;0;0;56,5;0,850136766
178;11/01/2015 00:00;sweing;8;0,8;25,9;1209;10170;60;0;0;0;56,5;0,850136766
179;11/01/2015 00:00;finishing ;10;0,8;3,94;NaN;1440;0;0;0;0;8;0,828295455
180;11/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,820833333
181;11/01/2015 00:00;sweing;6;0,8;11,41;887;5490;50;0;0;0;30,5;0,800343766
182;11/01/2015 00:00;sweing;12;0,8;11,61;896;5670;50;0;0;0;31,5;0,800246753
183;11/01/2015 00:00;sweing;2;0,8;28,08;805;10530;63;0;0;0;58,5;0,8
184;11/01/2015 00:00;sweing;10;0,8;28,08;762;10530;38;0;0;0;58,5;0,8
185;11/01/2015 00:00;sweing;3;0,8;19,87;1043;6420;0;0;0;0;55;0,690182815
186;11/01/2015 00:00;finishing ;11;0,8;4,15;NaN;1440;0;0;0;0;8;0,668087121
187;11/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,653598485
188;11/01/2015 00:00;finishing ;5;0,5;4,15;NaN;1440;0;0;0;0;8;0,609138258
189;11/01/2015 00:00;sweing;11;0,6;12,52;831;9540;30;0;0;0;53;0,600229846
190;11/01/2015 00:00;finishing ;6;0,8;2,9;NaN;1440;0;0;0;0;8;0,597348485
191;11/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,590435606
192;11/01/2015 00:00;sweing;4;0,8;50,48;562;10440;0;0;0;0;58;0,473134796
193;11/01/2015 00:00;sweing;5;0,6;20,79;1208;7980;0;0;0;0;57;0,452979626
194;12/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;8;0,955151515
195;12/01/2015 00:00;finishing ;4;0,35;4,3;NaN;3240;0;0;0;0;18;0,942213805
196;12/01/2015 00:00;finishing ;3;0,8;4,15;NaN;1800;0;0;0;0;10;0,905454545
197;12/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,880530303
198;12/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
199;12/01/2015 00:00;sweing;1;0,8;26,16;1099;8220;75;0;0;0;59;0,850522167
200;12/01/2015 00:00;sweing;9;0,8;26,16;1093;10620;75;0;0;0;59;0,850502311
201;12/01/2015 00:00;sweing;7;0,8;25,9;1031;10170;60;0;0;0;56,5;0,850136766
202;12/01/2015 00:00;sweing;8;0,8;25,9;1233;10170;60;0;0;0;56,5;0,850136766
203;12/01/2015 00:00;finishing ;6;0,8;2,9;NaN;1440;0;0;0;0;8;0,817424242
204;12/01/2015 00:00;finishing ;5;0,65;4,15;NaN;1440;0;0;0;0;8;0,809564394
205;12/01/2015 00:00;sweing;3;0,8;19,87;941;9900;0;0;0;0;55;0,800273829
206;12/01/2015 00:00;sweing;6;0,8;11,41;843;5670;50;0;0;0;31,5;0,800181818
207;12/01/2015 00:00;sweing;12;0,8;11,61;760;4470;50;0;0;0;31,5;0,80007657
208;12/01/2015 00:00;sweing;2;0,8;28,08;737;10530;63;0;0;0;58,5;0,8
209;12/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,725
210;12/01/2015 00:00;sweing;10;0,8;50,48;381;6930;45;0;0;0;58,5;0,688557555
211;12/01/2015 00:00;sweing;5;0,65;20,79;1141;8460;0;0;0;0;59;0,650040783
212;12/01/2015 00:00;sweing;11;0,65;12,52;1004;9540;44;0;0;0;53;0,64998056
213;12/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,648106061
214;12/01/2015 00:00;finishing ;11;0,8;4,15;NaN;1440;0;0;0;0;8;0,640577652
215;12/01/2015 00:00;sweing;4;0,35;22,4;581;7350;0;0;0;0;51,5;0,35063299
216;12/01/2015 00:00;finishing ;10;0,8;3,94;NaN;1440;0;0;0;0;8;0,24625
217;13/01/2015 00:00;finishing ;4;0,35;4,3;NaN;2160;0;0;0;0;12;0,952020202
218;13/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;2;0,951420455
219;13/01/2015 00:00;finishing ;10;0,8;3,94;NaN;5400;0;0;0;0;20;0,912766667
220;13/01/2015 00:00;finishing ;3;0,8;4,15;NaN;1620;0;0;0;0;9;0,901262626
221;13/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
222;13/01/2015 00:00;sweing;1;0,8;26,16;1073;10620;75;0;0;0;59;0,850502311
223;13/01/2015 00:00;sweing;9;0,8;26,16;1156;10620;75;0;0;0;59;0,850502311
224;13/01/2015 00:00;sweing;8;0,8;25,9;1211;10260;60;0;0;0;57;0,850252525
225;13/01/2015 00:00;sweing;7;0,8;25,9;1126;10170;60;0;0;0;56,5;0,850136766
226;13/01/2015 00:00;finishing ;5;0,65;4,15;NaN;1440;0;0;0;0;8;0,821354167
227;13/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,805909091
228;13/01/2015 00:00;sweing;6;0,8;11,61;1004;5670;50;0;0;0;31,5;0,800246753
229;13/01/2015 00:00;sweing;12;0,8;11,61;1063;5670;50;0;0;0;31,5;0,800246753
230;13/01/2015 00:00;sweing;2;0,8;28,08;723;10530;50;0;0;0;58,5;0,8
231;13/01/2015 00:00;sweing;3;0,8;42,27;465;9900;54;0;0;0;55;0,705576584
232;13/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,681060606
233;13/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,670075758
234;13/01/2015 00:00;finishing ;11;0,8;4,15;NaN;1440;0;0;0;0;8;0,601278409
235;13/01/2015 00:00;sweing;11;0,7;27,13;530;9540;37;0;0;0;53;0,582301029
236;13/01/2015 00:00;sweing;5;0,7;20,79;1297;10440;0;0;0;0;58;0,526810345
237;13/01/2015 00:00;sweing;4;0,5;22,4;783;10170;23;0;0;0;56,5;0,500380799
